Überblick - Aufgaben eines Vereinsvorstandes;Präsident;Abtl. +stv. KL;Abtl. + stv. SL;Schatzmeister;Schriftführer;Jugendleiter;Geschäftsstelle;Datenschutz Ansprechpartner
Strategische Arbeit/Vereinsentwicklung;;;;;;;;
Leitung des Gesamtvereins;x;x;x;;;;;
Planung und Steuerung der Gesamtentwicklung;x;x;x;x;;;;
Festlegung der Richtlinien und Zielsetzungen;x;x;x;x;;;;
Vertretung gegenüber Sportorganisationen und Stellen der öffentlichen Hand;x;x;;;;;;
Repräsentation des Vereins nach innen und außen (einschließlich Ehrungen und Kontaktpflege);x;x;x;;;;;
Einführen von Vereinsgremien;x;x;x;x;x;;;
Kontrolle und Durchführung der Beschlüsse der Vereinsgremien;;x;x;;;;;
Kommunikation mit  Schulen;x;x;x;;;;;
Kommunikation mit  Steuerberater;;;;x;;;;
Kommunikation mit Verbänden;x;x; ;;;;;
Kommunikation mit Fachverband  Sportpässe / Meldungen;;x;x;;;;x;
Kommunikation mit  Versicherungen;;;;x;;;;
Kommunikation mit Finanzamt;;;;x;;;;
Kommunikation mit der Stadt Mannheim / je nach Thema;x;x;x;;;;;
Beruft den Ältestenrat ein;x;;;;;;;
Organisation des Vereins/Gesamtstruktur;x;x;x;x;x;;;
Regelung der internen Geschäftsabläufe (Geschäftsverteilung, Aktenplan, Post, Einkauf u.a.) usw.;x;x;x;x;;;x;
Schlägt zu ehrende Mitglieder vor;x;x;x;x;x;x;x;
Beschließt Ehrungen;x;x;x;x;x;;;
Einführung des Amtes Jungendleiter und Jugendwarte;x;x;x;;;;;
Bestandsmeldungen an BSB;;;; x;;;x;
;;;;;;;;
;;;;;;;;
Recht/Versicherungen;;;;;;;;
Satzung und Ordnungen (Geschäftsordnung, Finanzordnung, Jugendordnung u.a.);x;x;x;x;x;;;
Vertretungs- und Haftungsfragen;x;x;x;;;;;
Abschluss von Versicherungsverträgen;x;;;;;;;
Mitgliederpflege (Beiträge, Prämien, Abwicklung);;;;;;;x;
Sporthilfeversicherungsverträge;;;;x;;;;
gesetzliche Unfallversicherung (VBG);;;;x;;;;
;;;;;;;;
;;;;;;;;
Mitarbeiter;;;;;;;;
